,apparentTemperatureHigh,apparentTemperatureLow,apparentTemperatureMax,apparentTemperatureMin,cloudCover,date,dewPoint,humidity,lat,long,moonPhase,ozone,pressure,temperatureHigh,temperatureLow,temperatureMax,temperatureMin,uvIndex,visibility,windBearing,windGust,windSpeed
0,69.96,51.82,69.96,51.14,0.14,2019-12-13,51.74,0.78,34.0,-118.0,0.57,263.1,1019.0,70.46,51.33,70.46,50.65,3.0,9.952,198.0,7.01,2.8
1,71.05,51.14,71.05,50.7,0.19,2019-12-12,48.93,0.71,34.0,-118.0,0.53,267.8,1021.8,71.55,50.65,71.55,50.21,3.0,10.0,168.0,6.98,2.28
2,66.45,50.7,66.45,45.58,0.21,2019-12-11,44.83,0.7,34.0,-118.0,0.5,289.5,1021.8,66.95,50.21,66.95,46.18,3.0,10.0,190.0,7.94,2.69
3,66.87,45.58,66.87,48.19,0.3,2019-12-10,48.82,0.8,34.0,-118.0,0.47,290.3,1022.4,67.37,46.18,67.37,47.7,3.0,10.0,266.0,6.85,1.89
4,67.72,48.19,67.72,48.57,0.1,2019-12-09,51.09,0.85,34.0,-118.0,0.43,308.2,1018.2,68.22,47.7,68.22,48.08,3.0,9.753,189.0,6.97,1.72
5,60.83,48.57,60.83,53.63,0.69,2019-12-08,55.61,0.95,34.0,-118.0,0.4,300.6,1017.4,61.33,48.08,61.33,53.14,2.0,7.675,250.0,9.8,2.24
6,63.41,55.5,63.41,57.22,0.84,2019-12-07,56.86,0.91,34.0,-118.0,0.37,284.7,1019.9,63.82,54.86,63.82,56.48,2.0,9.947,40.0,7.69,1.29
7,64.67,57.06,64.67,53.12,0.6,2019-12-06,50.8,0.76,34.0,-118.0,0.34,287.1,1020.4,65.17,56.57,65.17,52.63,3.0,10.0,345.0,8.19,1.83
8,63.55,53.12,63.55,50.56,0.39,2019-12-05,51.89,0.84,34.0,-118.0,0.31,292.0,1018.9,64.05,52.63,64.05,50.07,3.0,9.988,1.0,5.94,2.05
9,62.35,50.56,62.35,51.8,0.71,2019-12-04,53.3,0.91,34.0,-118.0,0.28,301.7,1014.3,62.86,50.07,62.86,51.31,2.0,7.655,85.0,13.43,2.58
10,68.59,51.8,68.59,52.01,0.92,2019-12-03,45.6,0.62,34.0,-118.0,0.25,297.2,1017.2,69.09,51.31,69.09,51.52,2.0,10.0,251.0,4.09,1.21
11,70.71,51.74,70.71,45.94,0.32,2019-12-02,39.58,0.53,34.0,-118.0,0.22,298.6,1019.6,71.21,51.25,71.21,46.32,3.0,10.0,282.0,7.43,2.25
12,62.47,45.94,62.47,47.19,0.73,2019-12-01,38.97,0.58,34.0,-118.0,0.19,296.1,1019.5,62.97,46.32,62.97,46.7,2.0,10.0,322.0,8.61,1.62
13,54.87,47.19,54.87,40.56,0.48,2019-11-30,40.72,0.76,34.0,-118.0,0.16,296.3,1020.5,55.37,46.7,55.37,41.63,3.0,10.0,14.0,11.13,2.14
14,53.84,40.56,53.84,36.16,0.25,2019-11-29,40.01,0.84,34.0,-118.0,0.12,350.2,1011.9,54.34,41.63,54.34,35.67,3.0,10.0,189.0,12.25,2.55
15,45.6,36.16,46.41,36.11,0.77,2019-11-28,43.24,0.99,34.0,-118.0,0.09,373.6,1003.3,46.16,35.67,46.91,40.41,2.0,9.023,60.0,15.57,4.51
16,51.9,40.28,53.54,44.49,0.68,2019-11-27,43.54,0.82,34.0,-118.0,0.06,326.6,1005.5,52.4,42.87,54.04,44.0,2.0,8.684,53.0,10.12,1.18
17,66.25,49.52,66.25,52.09,0.24,2019-11-26,34.7,0.48,34.0,-118.0,0.02,291.4,1011.9,66.75,49.03,66.75,51.6,3.0,10.0,247.0,8.82,2.31
18,67.89,52.09,67.89,47.49,0.08,2019-11-25,45.66,0.65,34.0,-118.0,0.98,280.7,1011.2,68.39,51.6,68.39,47.0,4.0,10.0,163.0,11.42,2.26
19,77.19,47.49,77.19,51.17,0.02,2019-11-24,33.92,0.35,34.0,-118.0,0.95,280.2,1017.6,77.69,47.0,77.69,50.68,4.0,10.0,246.0,11.21,3.04
20,74.97,51.17,74.97,55.95,0.09,2019-11-23,38.77,0.41,34.0,-118.0,0.91,281.1,1019.4,75.47,50.68,75.47,55.46,4.0,10.0,252.0,8.27,2.35
21,70.1,55.95,70.1,49.46,0.16,2019-11-22,46.78,0.67,34.0,-118.0,0.87,279.6,1019.6,70.6,55.46,70.6,48.97,4.0,10.0,300.0,8.62,2.18
22,63.81,49.46,63.81,49.34,0.17,2019-11-21,48.33,0.78,34.0,-118.0,0.84,307.9,1012.4,64.31,48.97,64.31,49.35,3.0,10.0,83.0,8.95,2.5
23,53.98,49.34,58.89,50.08,0.59,2019-11-20,48.27,0.83,34.0,-118.0,0.8,327.6,1002.6,54.48,49.35,59.39,49.59,2.0,9.975,121.0,11.81,3.07
24,78.61,52.83,78.61,59.59,0.45,2019-11-19,39.86,0.4,34.0,-118.0,0.76,275.0,1005.8,79.11,52.34,79.11,59.1,4.0,10.0,155.0,12.5,1.77
25,92.39,60.94,92.39,67.44,0.1,2019-11-18,26.36,0.17,34.0,-118.0,0.73,265.0,1011.4,92.89,60.45,92.89,66.95,4.0,10.0,244.0,12.08,2.45
26,92.31,67.44,92.31,61.55,0.02,2019-11-17,30.71,0.2,34.0,-118.0,0.69,267.4,1014.3,92.81,66.95,92.81,61.06,4.0,10.0,252.0,10.56,2.44
27,81.05,61.45,81.05,52.19,0.04,2019-11-16,49.52,0.6,34.0,-118.0,0.65,286.7,1014.7,81.55,60.96,81.55,51.7,4.0,10.0,207.0,9.42,2.44
28,71.79,52.19,71.79,52.94,0.42,2019-11-15,55.05,0.87,34.0,-118.0,0.62,288.4,1017.9,72.29,51.7,72.29,52.45,3.0,10.0,242.0,11.71,1.95
29,73.52,52.94,73.52,53.24,0.62,2019-11-14,54.86,0.87,34.0,-118.0,0.59,276.1,1018.3,74.02,52.45,74.02,52.75,4.0,9.736,241.0,11.55,2.59
30,71.51,53.24,71.51,52.23,0.47,2019-11-13,54.94,0.84,34.0,-118.0,0.55,268.2,1015.7,72.01,52.75,72.01,51.74,4.0,9.018,222.0,11.28,2.91
31,78.63,52.23,78.63,51.81,0.14,2019-11-12,54.09,0.75,34.0,-118.0,0.52,255.0,1016.9,79.13,51.74,79.13,51.32,5.0,9.229,237.0,11.02,2.32
32,74.07,51.81,74.07,57.67,0.2,2019-11-11,55.27,0.79,34.0,-118.0,0.49,249.1,1016.2,74.57,51.32,74.57,57.18,5.0,9.179,225.0,10.9,2.45
33,77.07,57.18,77.07,55.33,0.14,2019-11-10,50.26,0.64,34.0,-118.0,0.46,256.8,1015.1,77.57,56.62,77.57,54.84,5.0,9.516,207.0,9.65,2.54
34,89.69,55.33,89.69,64.54,0.0,2019-11-09,28.32,0.18,34.0,-118.0,0.43,268.6,1015.5,90.19,54.84,90.19,64.05,5.0,10.0,233.0,13.67,3.22
35,86.81,65.78,86.81,57.04,0.04,2019-11-08,39.01,0.32,34.0,-118.0,0.39,278.4,1018.3,87.31,65.29,87.31,56.55,5.0,10.0,218.0,12.15,2.47
36,77.78,57.04,77.78,55.45,0.22,2019-11-07,55.07,0.77,34.0,-118.0,0.36,283.6,1018.0,78.28,56.55,78.28,54.95,5.0,9.265,244.0,7.98,2.0
37,72.33,55.45,72.33,52.93,0.17,2019-11-06,53.47,0.78,34.0,-118.0,0.33,275.2,1015.3,72.83,54.95,72.83,52.44,5.0,9.946,214.0,8.98,2.98
38,80.05,52.93,80.05,55.88,0.02,2019-11-05,41.78,0.41,34.0,-118.0,0.3,273.8,1015.2,80.55,52.44,80.55,55.39,5.0,10.0,233.0,12.15,2.26
39,83.37,55.88,83.37,54.74,0.02,2019-11-04,35.96,0.36,34.0,-118.0,0.27,279.0,1014.2,83.87,55.39,83.87,54.25,5.0,10.0,224.0,12.47,2.86
40,82.17,54.74,82.17,54.53,0.02,2019-11-03,30.46,0.27,34.0,-118.0,0.24,266.3,1014.5,82.67,54.25,82.67,54.04,5.0,10.0,210.0,9.97,2.58
41,85.19,54.53,85.19,54.45,0.07,2019-11-02,16.33,0.15,34.0,-118.0,0.21,266.0,1017.1,85.69,54.04,85.69,53.96,5.0,10.0,247.0,10.11,2.86
42,80.85,54.45,80.85,52.68,0.0,2019-11-01,8.99,0.11,34.0,-118.0,0.18,289.1,1018.1,81.35,53.96,81.35,52.19,5.0,10.0,228.0,9.96,2.72
43,77.76,52.68,77.76,48.04,0.04,2019-10-31,-1.76,0.08,34.0,-118.0,0.15,294.2,1019.6,78.26,52.19,78.26,48.13,5.0,10.0,49.0,10.82,2.93
44,74.02,48.04,74.02,52.81,0.02,2019-10-30,15.42,0.28,34.0,-118.0,0.11,288.3,1019.2,74.52,48.13,74.52,52.32,5.0,10.0,107.0,16.62,3.0
45,70.9,52.81,70.9,49.54,0.03,2019-10-29,42.31,0.52,34.0,-118.0,0.07,291.7,1012.7,71.4,52.32,71.4,49.05,5.0,10.0,169.0,12.79,3.08
46,76.11,49.54,76.11,56.69,0.01,2019-10-28,31.51,0.33,34.0,-118.0,0.04,300.8,1014.5,76.61,49.05,76.61,56.2,5.0,10.0,235.0,10.91,2.99
47,67.99,56.69,67.99,56.82,0.33,2019-10-27,51.59,0.68,34.0,-118.0,1.0,293.2,1008.5,68.49,56.2,68.49,56.33,4.0,9.941,166.0,12.46,3.15
48,87.54,56.85,87.54,65.4,0.03,2019-10-26,31.53,0.22,34.0,-118.0,0.96,283.5,1009.4,88.04,56.36,88.04,64.91,5.0,10.0,201.0,11.7,3.13
49,96.48,65.4,96.48,73.41,0.0,2019-10-25,17.31,0.09,34.0,-118.0,0.92,286.3,1015.0,96.98,64.91,96.98,72.92,5.0,10.0,265.0,14.23,3.45
50,95.56,73.41,95.56,67.09,0.01,2019-10-24,22.57,0.13,34.0,-118.0,0.88,292.0,1014.0,96.06,72.92,96.06,66.6,5.0,10.0,187.0,8.89,1.92
51,92.34,67.09,92.34,66.11,0.0,2019-10-23,38.28,0.25,34.0,-118.0,0.85,282.0,1011.9,92.84,66.6,92.84,65.62,6.0,10.0,213.0,10.0,2.79
52,93.93,66.11,93.93,68.26,0.0,2019-10-22,33.73,0.19,34.0,-118.0,0.81,280.3,1016.4,94.43,65.62,94.43,67.77,6.0,10.0,230.0,14.69,3.11
53,92.24,68.26,92.24,64.18,0.0,2019-10-21,34.19,0.21,34.0,-118.0,0.77,281.8,1015.1,92.74,67.77,92.74,63.69,6.0,10.0,259.0,11.08,3.16
54,84.16,64.18,84.16,54.53,0.02,2019-10-20,48.19,0.55,34.0,-118.0,0.74,280.4,1011.8,84.66,63.69,84.66,54.04,6.0,10.0,203.0,8.31,2.26
55,78.59,54.53,78.59,53.53,0.01,2019-10-19,47.4,0.52,34.0,-118.0,0.7,284.4,1012.2,79.09,54.04,79.09,53.04,6.0,10.0,178.0,11.35,3.04
56,78.47,53.53,78.47,56.07,0.04,2019-10-18,51.98,0.67,34.0,-118.0,0.67,278.4,1012.0,78.97,53.04,78.97,55.54,6.0,10.0,211.0,11.61,2.81
57,73.94,56.07,73.94,58.89,0.12,2019-10-17,56.28,0.72,34.0,-118.0,0.64,288.3,1008.8,74.44,55.54,74.44,58.3,6.0,9.839,202.0,13.34,2.59
58,89.66,58.89,89.66,62.65,0.33,2019-10-16,45.48,0.36,34.0,-118.0,0.6,280.4,1011.8,90.16,58.3,90.16,62.16,5.0,10.0,230.0,13.11,2.51
59,85.27,62.65,85.27,53.87,0.02,2019-10-15,52.13,0.63,34.0,-118.0,0.57,294.6,1014.6,85.77,62.16,85.77,53.38,6.0,10.0,255.0,13.86,3.11
60,74.98,53.87,74.98,55.36,0.1,2019-10-14,54.66,0.75,34.0,-118.0,0.54,305.3,1013.2,75.48,53.38,75.48,54.87,6.0,10.0,238.0,11.11,3.63
61,75.51,55.36,75.51,54.84,0.02,2019-10-13,48.16,0.57,34.0,-118.0,0.51,303.4,1011.0,76.01,54.87,76.01,54.35,6.0,10.0,217.0,11.49,3.26
62,82.74,54.84,82.74,58.62,0.01,2019-10-12,24.99,0.2,34.0,-118.0,0.48,301.8,1011.3,83.24,54.35,83.24,58.13,6.0,10.0,230.0,13.37,3.17
63,86.46,58.62,86.46,63.53,0.05,2019-10-11,9.29,0.08,34.0,-118.0,0.45,306.9,1013.4,86.96,58.13,86.96,63.04,6.0,10.0,73.0,16.02,3.64
64,81.16,63.53,81.16,60.53,0.2,2019-10-10,49.26,0.56,34.0,-118.0,0.42,298.1,1012.1,81.66,63.04,81.66,60.04,6.0,10.0,193.0,13.96,1.73
65,73.12,60.22,73.12,56.41,0.18,2019-10-09,56.06,0.78,34.0,-118.0,0.39,290.8,1010.1,73.62,59.73,73.62,55.92,7.0,10.0,197.0,11.53,3.37
66,85.26,56.41,85.26,57.65,0.02,2019-10-08,51.02,0.55,34.0,-118.0,0.36,277.2,1010.8,85.76,55.92,85.76,57.16,7.0,10.0,191.0,9.98,3.3
67,87.32,57.65,87.32,60.94,0.01,2019-10-07,46.8,0.4,34.0,-118.0,0.33,267.4,1013.4,87.82,57.16,87.82,60.45,7.0,10.0,237.0,13.22,2.84
68,89.14,60.94,89.14,57.52,0.01,2019-10-06,46.3,0.44,34.0,-118.0,0.3,270.9,1015.1,89.64,60.45,89.64,57.03,7.0,10.0,235.0,11.59,3.18
69,82.92,57.52,82.92,57.26,0.02,2019-10-05,48.49,0.49,34.0,-118.0,0.27,272.9,1015.7,83.42,57.03,83.42,56.77,7.0,10.0,233.0,10.58,3.05
70,79.42,57.26,79.42,52.48,0.01,2019-10-04,51.23,0.61,34.0,-118.0,0.23,279.8,1015.1,79.92,56.77,79.92,51.99,7.0,10.0,232.0,11.09,3.27
71,79.28,52.48,79.28,55.47,0.01,2019-10-03,50.3,0.57,34.0,-118.0,0.2,269.7,1013.3,79.78,51.99,79.78,54.98,8.0,10.0,225.0,11.83,3.27
72,80.93,55.47,80.93,53.11,0.03,2019-10-02,48.52,0.56,34.0,-118.0,0.17,273.2,1013.0,81.43,54.98,81.43,52.62,8.0,10.0,234.0,13.62,3.01
73,74.55,53.11,74.55,53.42,0.04,2019-10-01,49.77,0.63,34.0,-118.0,0.13,280.6,1011.2,75.05,52.62,75.05,52.93,7.0,10.0,219.0,9.95,3.15
74,70.87,53.42,70.87,55.04,0.03,2019-09-30,48.48,0.63,34.0,-118.0,0.09,280.7,1011.4,71.37,52.93,71.37,54.55,7.0,10.0,219.0,11.29,3.32
75,69.52,55.04,69.52,57.21,0.17,2019-09-29,51.08,0.66,34.0,-118.0,0.05,294.1,1010.7,70.02,54.55,70.02,56.72,7.0,10.0,212.0,13.97,3.13
76,68.74,57.21,68.74,61.78,0.68,2019-09-28,59.62,0.84,34.0,-118.0,0.02,289.5,1008.6,69.25,56.72,69.25,61.29,5.0,10.0,226.0,11.25,1.63
77,74.15,63.04,74.15,64.61,0.56,2019-09-27,60.58,0.79,34.0,-118.0,0.98,281.1,1012.0,74.65,62.29,74.65,64.12,6.0,10.0,254.0,8.51,3.39
78,76.06,65.4,76.06,65.68,0.63,2019-09-26,62.74,0.81,34.0,-118.0,0.94,286.0,1013.7,76.21,64.55,76.21,64.81,5.0,10.0,216.0,11.58,2.42
79,85.91,65.68,85.91,62.15,0.18,2019-09-25,62.3,0.74,34.0,-118.0,0.9,276.9,1009.3,84.49,64.81,84.49,61.28,8.0,10.0,206.0,15.75,4.1
80,88.75,62.15,88.75,60.25,0.02,2019-09-24,59.09,0.67,34.0,-118.0,0.86,277.8,1011.4,89.25,61.28,89.25,59.35,8.0,10.0,229.0,17.77,3.18
81,79.86,60.25,79.86,63.54,0.03,2019-09-23,59.62,0.67,34.0,-118.0,0.82,292.8,1012.7,80.18,59.35,80.18,63.05,8.0,10.0,222.0,12.1,3.92
82,90.33,63.54,90.33,65.87,0.29,2019-09-22,52.43,0.45,34.0,-118.0,0.79,287.0,1011.3,90.83,63.05,90.83,65.38,6.0,10.0,255.0,12.54,2.57
83,87.77,65.87,87.77,58.92,0.0,2019-09-21,57.51,0.63,34.0,-118.0,0.75,292.9,1011.1,88.27,65.38,88.27,58.12,8.0,10.0,241.0,13.25,3.43
84,81.5,58.92,81.5,61.71,0.15,2019-09-20,59.21,0.72,34.0,-118.0,0.72,294.5,1011.3,82.0,58.12,82.0,60.9,8.0,10.0,233.0,13.79,3.26
85,79.66,61.71,79.66,62.15,0.19,2019-09-19,59.76,0.74,34.0,-118.0,0.68,281.4,1011.1,80.15,60.9,80.15,61.49,8.0,10.0,218.0,12.42,3.18
86,83.48,62.15,83.48,63.11,0.04,2019-09-18,58.69,0.69,34.0,-118.0,0.65,280.8,1012.3,83.79,61.49,83.79,62.59,9.0,10.0,232.0,12.8,3.38
87,83.24,63.11,83.24,60.56,0.03,2019-09-17,59.12,0.7,34.0,-118.0,0.62,291.2,1013.4,83.74,62.59,83.74,59.69,8.0,10.0,232.0,13.27,3.49
88,86.08,60.56,86.08,63.64,0.2,2019-09-16,59.36,0.66,34.0,-118.0,0.59,290.7,1012.2,86.58,59.69,86.58,62.9,8.0,10.0,240.0,12.73,2.84
89,88.2,63.64,88.2,65.3,0.42,2019-09-15,57.71,0.55,34.0,-118.0,0.56,287.7,1011.4,88.7,62.9,88.7,64.81,7.0,9.947,227.0,11.36,2.66
90,97.29,65.3,97.29,65.83,0.04,2019-09-14,55.69,0.47,34.0,-118.0,0.53,286.1,1011.9,97.79,64.81,97.79,65.33,9.0,10.0,188.0,12.05,3.2
91,94.39,65.83,94.39,64.47,0.01,2019-09-13,56.07,0.5,34.0,-118.0,0.5,282.0,1012.9,94.89,65.33,94.89,63.68,9.0,10.0,244.0,13.79,3.18
92,89.52,64.47,89.52,61.94,0.0,2019-09-12,60.69,0.65,34.0,-118.0,0.47,281.9,1014.3,89.96,63.68,89.96,60.93,9.0,10.0,245.0,12.92,3.62
93,81.18,61.94,81.18,62.25,0.19,2019-09-11,59.55,0.72,34.0,-118.0,0.44,289.7,1013.8,80.91,60.93,80.91,61.5,9.0,10.0,233.0,12.64,3.44
94,77.94,62.25,77.94,63.75,0.44,2019-09-10,59.57,0.74,34.0,-118.0,0.41,292.3,1011.3,78.44,61.5,78.44,63.09,7.0,10.0,211.0,10.7,3.02
95,78.48,63.75,78.48,63.03,0.07,2019-09-09,60.82,0.73,34.0,-118.0,0.38,290.3,1010.3,78.82,63.09,78.82,62.44,8.0,10.0,223.0,10.76,3.72
96,79.52,63.03,79.52,60.74,0.02,2019-09-08,58.3,0.67,34.0,-118.0,0.35,289.0,1011.4,79.94,62.44,79.94,60.04,9.0,9.949,210.0,13.18,3.66
97,90.61,60.74,90.61,66.63,0.01,2019-09-07,58.88,0.54,34.0,-118.0,0.32,272.5,1013.2,90.06,60.04,90.06,66.14,10.0,10.0,217.0,16.3,3.55
98,92.65,66.63,92.65,66.96,0.01,2019-09-06,61.35,0.56,34.0,-118.0,0.28,271.9,1015.4,93.12,66.14,93.12,66.03,10.0,10.0,239.0,14.34,3.78
99,93.7,66.96,93.7,71.87,0.08,2019-09-05,61.04,0.5,34.0,-118.0,0.25,276.5,1012.9,93.15,66.03,93.15,71.26,9.0,10.0,235.0,15.28,3.27
100,98.48,71.87,98.48,70.66,0.08,2019-09-04,59.17,0.45,34.0,-118.0,0.22,284.7,1010.3,98.21,71.26,98.21,70.17,9.0,10.0,244.0,15.07,3.26
101,94.5,70.66,94.5,70.11,0.06,2019-09-03,60.92,0.51,34.0,-118.0,0.18,284.5,1011.9,94.14,70.17,94.14,69.46,10.0,10.0,242.0,12.27,3.82
102,93.39,70.11,93.39,67.82,0.02,2019-09-02,61.63,0.57,34.0,-118.0,0.15,286.9,1013.0,93.71,69.46,93.71,66.59,9.0,10.0,218.0,15.56,3.08
103,92.56,67.82,92.56,64.58,0.05,2019-09-01,64.49,0.69,34.0,-118.0,0.11,288.7,1011.4,89.46,66.59,89.46,63.63,9.0,10.0,219.0,12.79,3.91
104,93.58,64.58,93.58,64.74,0.01,2019-08-31,62.2,0.62,34.0,-118.0,0.07,290.1,1011.8,91.16,63.63,91.16,63.99,10.0,10.0,214.0,10.85,3.59
105,93.72,64.74,93.72,66.59,0.01,2019-08-30,61.34,0.55,34.0,-118.0,0.03,284.6,1012.9,92.41,63.99,92.41,66.04,10.0,10.0,216.0,12.84,3.49
106,90.35,66.59,90.35,65.3,0.01,2019-08-29,63.32,0.65,34.0,-118.0,0.99,283.5,1013.7,89.18,66.04,89.18,64.12,10.0,10.0,235.0,17.11,3.15
107,84.14,65.3,84.14,64.81,0.09,2019-08-28,64.16,0.76,34.0,-118.0,0.95,286.4,1012.6,82.95,64.12,82.95,63.75,10.0,9.875,233.0,12.61,3.52
108,88.65,64.81,88.65,66.65,0.01,2019-08-27,61.92,0.62,34.0,-118.0,0.91,288.9,1009.8,88.41,63.75,88.41,65.88,10.0,10.0,219.0,15.3,3.76
109,91.52,66.65,91.52,67.94,0.21,2019-08-26,56.29,0.47,34.0,-118.0,0.87,289.5,1010.6,92.02,65.88,92.02,67.45,9.0,10.0,206.0,13.36,3.59
110,91.33,67.94,91.33,65.31,0.04,2019-08-25,59.57,0.58,34.0,-118.0,0.84,289.3,1013.6,91.75,67.45,91.75,64.14,10.0,10.0,233.0,13.57,3.56
111,91.77,65.31,91.77,62.1,0.04,2019-08-24,61.54,0.63,34.0,-118.0,0.8,294.3,1012.7,91.07,64.14,91.07,61.36,10.0,10.0,244.0,11.63,3.54
112,82.95,62.1,82.95,61.8,0.28,2019-08-23,60.4,0.72,34.0,-118.0,0.77,294.6,1010.3,82.63,61.36,82.63,61.05,9.0,9.964,227.0,12.32,2.79
113,82.29,61.73,82.29,62.17,0.08,2019-08-22,59.94,0.67,34.0,-118.0,0.73,297.5,1007.9,81.69,60.98,81.69,61.46,10.0,10.0,228.0,16.54,3.97
114,90.4,62.17,90.4,61.47,0.01,2019-08-21,55.34,0.5,34.0,-118.0,0.7,289.1,1009.6,90.9,61.46,90.9,60.98,10.0,10.0,222.0,14.63,3.69
115,87.57,61.47,87.57,61.53,0.02,2019-08-20,59.11,0.61,34.0,-118.0,0.67,287.1,1012.4,87.83,60.98,87.83,60.69,10.0,10.0,223.0,13.97,3.6
116,84.34,61.53,84.34,61.35,0.16,2019-08-19,60.51,0.72,34.0,-118.0,0.64,296.6,1013.1,84.68,60.69,84.68,60.62,10.0,9.742,236.0,11.39,3.38
117,79.52,61.35,79.52,60.97,0.37,2019-08-18,60.11,0.74,34.0,-118.0,0.61,300.3,1011.9,79.96,60.62,79.96,60.35,9.0,10.0,244.0,12.27,3.12
118,79.89,60.97,79.89,61.01,0.32,2019-08-17,59.23,0.73,34.0,-118.0,0.58,296.6,1011.7,80.39,60.35,80.39,60.34,10.0,9.977,211.0,12.6,3.4
119,82.97,61.01,82.97,58.42,0.14,2019-08-16,59.13,0.72,34.0,-118.0,0.55,290.3,1012.5,83.56,60.34,83.56,57.93,11.0,9.778,212.0,12.03,3.17
120,91.77,58.42,91.77,58.04,0.12,2019-08-15,57.19,0.62,34.0,-118.0,0.52,285.5,1013.3,92.27,57.93,92.27,57.55,11.0,9.965,230.0,15.54,3.37
